type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-10-13 02:47:27,-33.91800143,151.23206883,4.51,42.435,22.180,0.819,102,41,47,,
T,2023-10-13 02:47:28,-33.91800399,151.23208426,4.60,42.503,22.180,0.884,116,40,47,,
T,2023-10-13 02:47:29,-33.91800993,151.23209680,4.42,43.107,22.180,0.932,122,40,47,,
T,2023-10-13 02:47:30,-33.91801625,151.23211271,4.51,43.515,22.180,1.014,125,43,47,,
T,2023-10-13 02:47:31,-33.91802962,151.23211794,4.41,43.718,22.180,1.048,120,43,47,,
T,2023-10-13 02:47:32,-33.91803420,151.23212556,4.42,43.685,22.180,1.091,120,44,47,,
T,2023-10-13 02:47:33,-33.91803641,151.23213109,4.34,43.784,22.180,1.135,121,44,47,,
T,2023-10-13 02:47:34,-33.91803766,151.23213737,4.68,43.621,22.180,1.139,114,44,47,,
T,2023-10-13 02:47:35,-33.91803981,151.23214035,4.70,43.322,22.180,1.146,102,44,47,,
T,2023-10-13 02:47:36,-33.91803932,151.23213800,4.70,42.930,22.180,0.883,114,44,47,,
T,2023-10-13 02:47:37,-33.91804053,151.23214554,4.70,42.900,22.180,0.877,115,44,47,,
T,2023-10-13 02:47:38,-33.91805378,151.23214361,4.70,42.920,22.180,0.831,130,44,47,,
T,2023-10-13 02:47:39,-33.91806999,151.23214470,4.70,43.241,22.179,0.850,160,44,47,,
T,2023-10-13 02:47:40,-33.91808089,151.23214631,4.70,43.630,22.179,0.889,166,44,47,,
T,2023-10-13 02:47:41,-33.91808679,151.23215081,4.70,44.030,22.179,0.686,168,44,47,,
T,2023-10-13 02:47:42,-33.91808560,151.23215328,4.70,44.402,22.179,0.646,169,44,47,,
T,2023-10-13 02:47:43,-33.91808562,151.23214178,4.84,45.010,22.179,0.731,172,44,47,,
T,2023-10-13 02:47:44,-33.91808784,151.23213717,4.53,45.411,22.179,0.782,203,44,47,,
T,2023-10-13 02:47:45,-33.91809010,151.23213171,4.34,45.717,22.179,0.782,247,44,47,,
T,2023-10-13 02:47:46,-33.91808674,151.23212121,4.12,45.887,22.179,0.808,297,44,47,,
T,2023-10-13 02:47:47,-33.91808198,151.23211014,3.88,45.890,22.179,0.704,299,44,47,,
T,2023-10-13 02:47:48,-33.91807053,151.23210995,3.53,45.602,22.179,0.638,311,44,47,,
T,2023-10-13 02:47:49,-33.91807004,151.23210118,3.26,45.668,22.180,0.722,310,44,47,,
T,2023-10-13 02:47:50,-33.91807074,151.23209149,3.22,45.762,22.180,0.768,292,44,47,,
